annotation_id,filename,geometry,annotation_class,us_jpeg_url,eu_jpeg_url,asia_jpeg_url
C13_B156_S11_4,C13_B156_S11.tif,"POLYGON ((39349.53186579447 235197.5318657945, 39349.53186579447 236434.4681342055, 40586.46813420553 236434.4681342055, 40586.46813420553 235197.5318657945, 39349.53186579447 235197.5318657945))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C13_B156_S11_4.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C13_B156_S11_4.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C13_B156_S11_4.jpeg
C13_B145_S11_0,C13_B145_S11.tif,"POLYGON ((223157.5318657945 167313.5318657945, 223157.5318657945 168550.4681342055, 224394.4681342055 168550.4681342055, 224394.4681342055 167313.5318657945, 223157.5318657945 167313.5318657945))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C13_B145_S11_0.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C13_B145_S11_0.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C13_B145_S11_0.jpeg
C13_B145_S11_1,C13_B145_S11.tif,"POLYGON ((217637.5318657945 173297.5318657945, 217637.5318657945 174534.4681342055, 218874.4681342055 174534.4681342055, 218874.4681342055 173297.5318657945, 217637.5318657945 173297.5318657945))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C13_B145_S11_1.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C13_B145_S11_1.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C13_B145_S11_1.jpeg
C13_B145_S11_2,C13_B145_S11.tif,"POLYGON ((214341.5318657945 170369.5318657945, 214341.5318657945 171606.4681342055, 215578.4681342055 171606.4681342055, 215578.4681342055 170369.5318657945, 214341.5318657945 170369.5318657945))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C13_B145_S11_2.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C13_B145_S11_2.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C13_B145_S11_2.jpeg
C13_B145_S11_3,C13_B145_S11.tif,"POLYGON ((221589.5318657945 170289.5318657945, 221589.5318657945 171526.4681342055, 222826.4681342055 171526.4681342055, 222826.4681342055 170289.5318657945, 221589.5318657945 170289.5318657945))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C13_B145_S11_3.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C13_B145_S11_3.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C13_B145_S11_3.jpeg
C13_B145_S11_4,C13_B145_S11.tif,"POLYGON ((218917.5318657945 170849.5318657945, 218917.5318657945 172086.4681342055, 220154.4681342055 172086.4681342055, 220154.4681342055 170849.5318657945, 218917.5318657945 170849.5318657945))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C13_B145_S11_4.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C13_B145_S11_4.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C13_B145_S11_4.jpeg
C13_B141_S11_0,C13_B141_S11.tif,"POLYGON ((211989.5318657945 230877.5318657945, 211989.5318657945 232114.4681342055, 213226.4681342055 232114.4681342055, 213226.4681342055 230877.5318657945, 211989.5318657945 230877.5318657945))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C13_B141_S11_0.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C13_B141_S11_0.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C13_B141_S11_0.jpeg
C13_B141_S11_1,C13_B141_S11.tif,"POLYGON ((221653.5318657945 227005.5318657945, 221653.5318657945 228242.4681342055, 222890.4681342055 228242.4681342055, 222890.4681342055 227005.5318657945, 221653.5318657945 227005.5318657945))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C13_B141_S11_1.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C13_B141_S11_1.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C13_B141_S11_1.jpeg
C13_B141_S11_2,C13_B141_S11.tif,"POLYGON ((207797.5318657945 217501.5318657945, 207797.5318657945 218738.4681342055, 209034.4681342055 218738.4681342055, 209034.4681342055 217501.5318657945, 207797.5318657945 217501.5318657945))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C13_B141_S11_2.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C13_B141_S11_2.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C13_B141_S11_2.jpeg
C13_B141_S11_3,C13_B141_S11.tif,"POLYGON ((208693.5318657945 223485.5318657945, 208693.5318657945 224722.4681342055, 209930.4681342055 224722.4681342055, 209930.4681342055 223485.5318657945, 208693.5318657945 223485.5318657945))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C13_B141_S11_3.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C13_B141_S11_3.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C13_B141_S11_3.jpeg
C13_B141_S11_4,C13_B141_S11.tif,"POLYGON ((210133.5318657945 227645.5318657945, 210133.5318657945 228882.4681342055, 211370.4681342055 228882.4681342055, 211370.4681342055 227645.5318657945, 210133.5318657945 227645.5318657945))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C13_B141_S11_4.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C13_B141_S11_4.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C13_B141_S11_4.jpeg
C06_B116_S21_0,C06_B116_S21.tif,"POLYGON ((32939.71498739524 45699.71498739524, 32939.71498739524 47020.28501260476, 34260.28501260476 47020.28501260476, 34260.28501260476 45699.71498739524, 32939.71498739524 45699.71498739524))",2,s3://drivendata-competition-sfp-public/train/annotated_regions/C06_B116_S21_0.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C06_B116_S21_0.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C06_B116_S21_0.jpeg
C06_B116_S21_1,C06_B116_S21.tif,"POLYGON ((29867.71498739524 48803.71498739524, 29867.71498739524 50124.28501260476, 31188.28501260476 50124.28501260476, 31188.28501260476 48803.71498739524, 29867.71498739524 48803.71498739524))",2,s3://drivendata-competition-sfp-public/train/annotated_regions/C06_B116_S21_1.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C06_B116_S21_1.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C06_B116_S21_1.jpeg
C06_B116_S21_2,C06_B116_S21.tif,"POLYGON ((27275.71498739524 53603.71498739524, 27275.71498739524 54924.28501260476, 28596.28501260476 54924.28501260476, 28596.28501260476 53603.71498739524, 27275.71498739524 53603.71498739524))",2,s3://drivendata-competition-sfp-public/train/annotated_regions/C06_B116_S21_2.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C06_B116_S21_2.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C06_B116_S21_2.jpeg
C06_B116_S21_3,C06_B116_S21.tif,"POLYGON ((37355.71498739524 45187.71498739524, 37355.71498739524 46508.28501260476, 38676.28501260476 46508.28501260476, 38676.28501260476 45187.71498739524, 37355.71498739524 45187.71498739524))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C06_B116_S21_3.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C06_B116_S21_3.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C06_B116_S21_3.jpeg
C06_B116_S21_4,C06_B116_S21.tif,"POLYGON ((40555.71498739524 44835.71498739524, 40555.71498739524 46156.28501260476, 41876.28501260476 46156.28501260476, 41876.28501260476 44835.71498739524, 40555.71498739524 44835.71498739524))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C06_B116_S21_4.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C06_B116_S21_4.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C06_B116_S21_4.jpeg
C06_B116_S21_5,C06_B116_S21.tif,"POLYGON ((38443.71498739524 46947.71498739524, 38443.71498739524 48268.28501260476, 39764.28501260476 48268.28501260476, 39764.28501260476 46947.71498739524, 38443.71498739524 46947.71498739524))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C06_B116_S21_5.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C06_B116_S21_5.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C06_B116_S21_5.jpeg
C06_B115_S21_0,C06_B115_S21.tif,"POLYGON ((57579.71498739524 29203.71498739524, 57579.71498739524 30524.28501260476, 58900.28501260476 30524.28501260476, 58900.28501260476 29203.71498739524, 57579.71498739524 29203.71498739524))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C06_B115_S21_0.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C06_B115_S21_0.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C06_B115_S21_0.jpeg
C06_B115_S21_1,C06_B115_S21.tif,"POLYGON ((57547.71498739524 33427.71498739524, 57547.71498739524 34748.28501260476, 58868.28501260476 34748.28501260476, 58868.28501260476 33427.71498739524, 57547.71498739524 33427.71498739524))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C06_B115_S21_1.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C06_B115_S21_1.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C06_B115_S21_1.jpeg
C06_B115_S21_2,C06_B115_S21.tif,"POLYGON ((48971.71498739524 23219.71498739524, 48971.71498739524 24540.28501260476, 50292.28501260476 24540.28501260476, 50292.28501260476 23219.71498739524, 48971.71498739524 23219.71498739524))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C06_B115_S21_2.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C06_B115_S21_2.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C06_B115_S21_2.jpeg
C06_B115_S21_3,C06_B115_S21.tif,"POLYGON ((49739.71498739524 30835.71498739524, 49739.71498739524 32156.28501260476, 51060.28501260476 32156.28501260476, 51060.28501260476 30835.71498739524, 49739.71498739524 30835.71498739524))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C06_B115_S21_3.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C06_B115_S21_3.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C06_B115_S21_3.jpeg
C06_B115_S21_4,C06_B115_S21.tif,"POLYGON ((46699.71498739524 33683.71498739524, 46699.71498739524 35004.28501260476, 48020.28501260476 35004.28501260476, 48020.28501260476 33683.71498739524, 46699.71498739524 33683.71498739524))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C06_B115_S21_4.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C06_B115_S21_4.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C06_B115_S21_4.jpeg
C12_B132_S12_6,C12_B132_S12.tif,"POLYGON ((34483.82998602344 23067.82998602344, 34483.82998602344 24372.17001397656, 35788.17001397656 24372.17001397656, 35788.17001397656 23067.82998602344, 34483.82998602344 23067.82998602344))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B132_S12_6.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B132_S12_6.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B132_S12_6.jpeg
C12_B132_S12_7,C12_B132_S12.tif,"POLYGON ((38067.82998602344 23707.82998602344, 38067.82998602344 25012.17001397656, 39372.17001397656 25012.17001397656, 39372.17001397656 23707.82998602344, 38067.82998602344 23707.82998602344))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B132_S12_7.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B132_S12_7.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B132_S12_7.jpeg
C12_B132_S12_8,C12_B132_S12.tif,"POLYGON ((38707.82998602344 26939.82998602344, 38707.82998602344 28244.17001397656, 40012.17001397656 28244.17001397656, 40012.17001397656 26939.82998602344, 38707.82998602344 26939.82998602344))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B132_S12_8.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B132_S12_8.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B132_S12_8.jpeg
C12_B131_S12_0,C12_B131_S12.tif,"POLYGON ((27443.82998602344 40195.82998602344, 27443.82998602344 41500.17001397656, 28748.17001397656 41500.17001397656, 28748.17001397656 40195.82998602344, 27443.82998602344 40195.82998602344))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B131_S12_0.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B131_S12_0.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B131_S12_0.jpeg
C12_B131_S12_1,C12_B131_S12.tif,"POLYGON ((27571.82998602344 36099.82998602344, 27571.82998602344 37404.17001397656, 28876.17001397656 37404.17001397656, 28876.17001397656 36099.82998602344, 27571.82998602344 36099.82998602344))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B131_S12_1.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B131_S12_1.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B131_S12_1.jpeg
C12_B131_S12_2,C12_B131_S12.tif,"POLYGON ((37043.82998602344 30851.82998602344, 37043.82998602344 32156.17001397656, 38348.17001397656 32156.17001397656, 38348.17001397656 30851.82998602344, 37043.82998602344 30851.82998602344))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B131_S12_2.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B131_S12_2.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B131_S12_2.jpeg
C12_B131_S12_3,C12_B131_S12.tif,"POLYGON ((47923.82998602344 26051.82998602344, 47923.82998602344 27356.17001397656, 49228.17001397656 27356.17001397656, 49228.17001397656 26051.82998602344, 47923.82998602344 26051.82998602344))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B131_S12_3.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B131_S12_3.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B131_S12_3.jpeg
C12_B131_S12_4,C12_B131_S12.tif,"POLYGON ((45171.82998602344 31363.82998602344, 45171.82998602344 32668.17001397656, 46476.17001397656 32668.17001397656, 46476.17001397656 31363.82998602344, 45171.82998602344 31363.82998602344))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B131_S12_4.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B131_S12_4.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B131_S12_4.jpeg
C12_B130_S12_0,C12_B130_S12.tif,"POLYGON ((25267.82998602344 47587.82998602344, 25267.82998602344 48892.17001397656, 26572.17001397656 48892.17001397656, 26572.17001397656 47587.82998602344, 25267.82998602344 47587.82998602344))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B130_S12_0.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B130_S12_0.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B130_S12_0.jpeg
C12_B130_S12_1,C12_B130_S12.tif,"POLYGON ((33203.82998602344 32803.82998602344, 33203.82998602344 34108.17001397656, 34508.17001397656 34108.17001397656, 34508.17001397656 32803.82998602344, 33203.82998602344 32803.82998602344))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B130_S12_1.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B130_S12_1.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B130_S12_1.jpeg
C12_B130_S12_2,C12_B130_S12.tif,"POLYGON ((26803.82998602344 57187.82998602344, 26803.82998602344 58492.17001397656, 28108.17001397656 58492.17001397656, 28108.17001397656 57187.82998602344, 26803.82998602344 57187.82998602344))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B130_S12_2.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B130_S12_2.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B130_S12_2.jpeg
C12_B130_S12_3,C12_B130_S12.tif,"POLYGON ((45299.82998602344 41059.82998602344, 45299.82998602344 42364.17001397656, 46604.17001397656 42364.17001397656, 46604.17001397656 41059.82998602344, 45299.82998602344 41059.82998602344))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B130_S12_3.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B130_S12_3.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B130_S12_3.jpeg
C12_B130_S12_4,C12_B130_S12.tif,"POLYGON ((42291.82998602344 44963.82998602344, 42291.82998602344 46268.17001397656, 43596.17001397656 46268.17001397656, 43596.17001397656 44963.82998602344, 42291.82998602344 44963.82998602344))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B130_S12_4.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B130_S12_4.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B130_S12_4.jpeg
C12_B129_S12_0,C12_B129_S12.tif,"POLYGON ((26291.82998602344 20379.82998602344, 26291.82998602344 21684.17001397656, 27596.17001397656 21684.17001397656, 27596.17001397656 20379.82998602344, 26291.82998602344 20379.82998602344))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B129_S12_0.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B129_S12_0.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B129_S12_0.jpeg
C12_B129_S12_1,C12_B129_S12.tif,"POLYGON ((19379.82998602344 22587.82998602344, 19379.82998602344 23892.17001397656, 20684.17001397656 23892.17001397656, 20684.17001397656 22587.82998602344, 19379.82998602344 22587.82998602344))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B129_S12_1.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B129_S12_1.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B129_S12_1.jpeg
C12_B129_S12_2,C12_B129_S12.tif,"POLYGON ((22099.82998602344 20667.82998602344, 22099.82998602344 21972.17001397656, 23404.17001397656 21972.17001397656, 23404.17001397656 20667.82998602344, 22099.82998602344 20667.82998602344))",3,s3://drivendata-competition-sfp-public/train/annotated_regions/C12_B129_S12_2.jpeg,s3://drivendata-competition-sfp-public-eu/train/annotated_regions/C12_B129_S12_2.jpeg,s3://drivendata-competition-sfp-public-asia/train/annotated_regions/C12_B129_S12_2.jpeg
